sum_data,max_pkt,pkt_count,avg_pkt,flow_speed,pkt_speed,delta_med,delta_min,status
5068074.0,8760.0,1278.0,3965.629107981221,1013587.1059934744,255.59301649101025,0.0005655288696289,2.384185791015625e-07,0.0
11931634.0,8760.0,2181.0,5470.717102246676,2364582.449095038,432.2253198075199,0.0007072687149047,2.384185791015625e-07,0.0
10780930.0,8760.0,2027.0,5318.663048840651,2141799.7049845248,402.69512945577344,0.0006220340728759,2.384185791015625e-07,0.0
9932642.0,8760.0,1924.0,5162.495841995842,1986272.2964705632,384.7503915281919,0.0006561279296875,2.384185791015625e-07,0.0
13326703.0,8760.0,2336.0,5704.924229452055,2602427.352581881,456.1721151609123,0.0007036924362182,2.384185791015625e-07,0.0
14238088.0,8760.0,2607.0,5461.483697736862,2778853.577923238,508.8092781591096,0.0006577968597412,2.384185791015625e-07,0.0
10290082.0,8760.0,1930.0,5331.648704663213,2057897.1742563855,385.9776381096696,0.0006911754608154,2.384185791015625e-07,0.0
11304302.0,8760.0,2141.0,5279.916861279776,2260238.960169013,428.0823012090315,0.0006458759307861,2.384185791015625e-07,0.0
7250568.0,8760.0,1702.0,4260.028202115159,1449722.2655738157,340.30813806678793,0.00057053565979,2.384185791015625e-07,0.0
11456225.0,8760.0,1965.0,5830.139949109414,2291166.448293861,392.9865266174013,0.0009649991989135,2.384185791015625e-07,0.0
6622474.0,8760.0,1467.0,4514.297205180641,1314451.6630326095,291.1752601322162,0.0006077289581298,2.384185791015625e-07,0.0
7253450.0,8760.0,1511.0,4800.430178689609,1450380.9259625375,302.13561534571744,0.0006592273712158,2.384185791015625e-07,0.0
9545699.0,8760.0,1786.0,5344.736282194849,1892349.9978421929,354.05862851386325,0.000917911529541,2.384185791015625e-07,0.0
11871421.0,8760.0,1906.0,6228.447534102833,2373481.7791066235,381.07116839485553,0.0009946823120117,2.384185791015625e-07,0.0
9388889.0,8760.0,1746.0,5377.370561282933,1877412.2816996488,349.1320265739202,0.0009788274765014,2.384185791015625e-07,0.0
9485694.0,8760.0,1908.0,4971.537735849057,1835567.45879862,369.2152320523693,0.0007765293121337,2.384185791015625e-07,0.0
11214406.0,8760.0,2079.0,5394.13468013468,2204720.640763998,408.72554570864935,0.0007352828979492,2.384185791015625e-07,0.0
10114250.0,8760.0,2016.0,5016.989087301588,1989878.854201739,396.6281009536749,0.0006794929504394,2.384185791015625e-07,0.0
8352713.0,8760.0,1790.0,4666.320111731844,1670524.7568705778,357.99617618830365,0.0006349086761474,2.384185791015625e-07,0.0
10989302.0,8760.0,2154.0,5101.811513463324,2154678.411089552,422.3359497706856,0.000582218170166,2.384185791015625e-07,0.0
9020588.0,8760.0,1760.0,5125.334090909091,1803954.3354713093,351.96814558313764,0.0006951093673706,2.384185791015625e-07,0.0
9779867.0,8760.0,1910.0,5120.3492146596855,1953639.6359161867,381.5442177894563,0.0006530284881591,2.384185791015625e-07,0.0
12463124.0,8760.0,2290.0,5442.412227074236,2483110.9237604584,456.2519008405476,0.0006370544433593,2.384185791015625e-07,0.0
11026167.0,8760.0,2267.0,4863.770180855757,2078598.536285665,427.3636415773135,0.0006353855133056,2.384185791015625e-07,0.0
7689455.0,8760.0,1689.0,4552.667258732978,1525830.825449198,335.15096507928007,0.0006451606750488,2.384185791015625e-07,0.0
9952932.0,8760.0,2054.0,4845.633885102239,1962999.3194533084,405.10681698187983,0.0007039308547973,2.384185791015625e-07,0.0
11908435.0,8760.0,2213.0,5381.127428829643,2330416.551290644,433.07217346411977,0.000762939453125,2.384185791015625e-07,0.0
10153174.0,8760.0,1919.0,5290.8671182907765,2029951.4228749515,383.6708383503554,0.0006194114685058,2.384185791015625e-07,0.0
10343904.0,8760.0,2168.0,4771.173431734317,2067448.7378821247,433.32081037570015,0.0006697177886962,2.384185791015625e-07,0.0
6811386.0,8760.0,1461.0,4662.139630390144,1362241.863525879,292.1924205457317,0.0005500316619873,2.384185791015625e-07,0.0
9729199.0,8760.0,1949.0,4991.89276552078,1943160.5268812515,389.263275105336,0.0006884336471557,2.384185791015625e-07,0.0
5377836.0,8760.0,1344.0,4001.366071428572,1072587.7498044558,268.05539174812856,0.0006031990051269,2.384185791015625e-07,0.0
6883855.0,8760.0,1542.0,4464.238002594034,1353221.0465744475,303.1247540539128,0.0006954669952392,2.384185791015625e-07,0.0
9337804.0,8760.0,1943.0,4805.8692743180645,1857069.3400926827,386.41694854594107,0.0007141828536987,2.384185791015625e-07,0.0
8156946.0,8760.0,1702.0,4792.565217391304,1625639.0253393329,339.20018854207746,0.0006661415100097,2.384185791015625e-07,0.0
10818715.0,8760.0,1983.0,5455.731215330307,2161962.422580585,396.27363175546265,0.0006651878356933,2.384185791015625e-07,0.0
10021830.0,8760.0,1944.0,5155.2623456790125,2004284.5728809312,388.7842050484323,0.0005890130996704,2.384185791015625e-07,0.0
9707179.0,8760.0,1922.0,5050.561394380853,1916025.4069381396,379.3687983022775,0.0005873441696166,2.384185791015625e-07,0.0
10552773.0,8760.0,1970.0,5356.737563451777,2110529.6418018737,393.9953407838576,0.0006372928619384,2.384185791015625e-07,0.0
10814688.0,8760.0,2116.0,5110.911153119093,2162681.5413896907,423.14989961620586,0.0006753206253051,2.384185791015625e-07,0.0
9461949.0,8760.0,1856.0,5098.032866379311,1880123.8002903024,368.7939739834574,0.000716209411621,2.384185791015625e-07,0.0
11352638.0,8760.0,2051.0,5535.172111165285,2258373.32772944,408.0041744635106,0.0007021427154541,2.384185791015625e-07,0.0
